datetime,serial,OF,cote,valeur,min,aim,max
2025-04-09 09:17:56,HP722561-V,12507315,FCollAvg,7.22,6.4,7.0,7.6
2025-04-09 09:17:56,HP722561-V,12507315,FCollMin,6.3,6.4,7.0,7.6
2025-04-09 09:17:56,HP722561-V,12507315,FCollMax,8.03,6.4,7.0,7.6
2025-04-09 09:17:56,HP722561-V,12507315,FJupAvg,111.83,111.1,111.1,114.1
2025-04-09 09:17:56,HP722561-V,12507315,FJupMin,111.45,111.1,111.1,114.1
2025-04-09 09:17:56,HP722561-V,12507315,FJupMax,112.38,111.1,111.1,114.1
2025-04-09 09:17:56,HP722561-V,12507315,T2_91Avg,2.13,1.6,2.0,2.4
2025-04-09 09:17:56,HP722561-V,12507315,T2_91Min,2.05,1.6,2.0,2.4
2025-04-09 09:17:56,HP722561-V,12507315,T2_91Max,2.26,1.6,2.0,2.4
2025-04-09 09:17:56,HP722561-V,12507315,T2_16Avg,2.16,1.6,2.0,2.4
2025-04-09 09:17:56,HP722561-V,12507315,T2_16Min,2.03,1.6,2.0,2.4
2025-04-09 09:17:56,HP722561-V,12507315,T2_16Max,2.31,1.6,2.0,2.4
2025-04-09 09:17:56,HP722561-V,12507315,R218318Avg,218.5,217.82,218.32,218.82
2025-04-09 09:17:56,HP722561-V,12507315,R218318Min,217.92,217.82,218.32,218.82
2025-04-09 09:17:56,HP722561-V,12507315,R218318Max,219.34,217.82,218.32,218.82
2025-04-09 09:17:56,HP722561-V,12507315,R223Avg,222.86,222.0,223.0,224.0
2025-04-09 09:17:56,HP722561-V,12507315,R223Min,222.3,222.0,223.0,224.0
2025-04-09 09:17:56,HP722561-V,12507315,R223Max,223.61,222.0,223.0,224.0
2025-04-09 09:17:56,HP722561-V,12507315,R237Avg,236.9,236.0,237.0,238.0
2025-04-09 09:17:56,HP722561-V,12507315,R237Min,236.57,236.0,237.0,238.0
2025-04-09 09:17:56,HP722561-V,12507315,R237Max,237.26,236.0,237.0,238.0
2025-04-09 09:17:56,HP722561-V,12507315,HBoss35_4,35.54,35.0,35.4,35.8
2025-04-09 09:17:56,HP722561-V,12507315,28BossG,27.66,26.62,27.56,28.5
2025-04-09 09:17:56,HP722561-V,12507315,28BossD,27.66,26.62,27.56,28.5
2025-04-09 09:17:56,HP722561-V,12507315,RDia541Avg,270.44,269.25,270.5,271.75
2025-04-09 09:17:56,HP722561-V,12507315,RDia541Min,270.14,269.25,270.5,271.75
2025-04-09 09:17:56,HP722561-V,12507315,RDia541Max,270.66,269.25,270.5,271.75
2025-04-09 09:17:56,HP722561-V,12507315,Diam520_3,520.37,519.1,520.3,521.5
2025-04-09 09:35:13,HP722565-P,12510136,FCollAvg,7.24,6.4,7.0,7.6
2025-04-09 09:35:13,HP722565-P,12510136,FCollMin,6.68,6.4,7.0,7.6
2025-04-09 09:35:13,HP722565-P,12510136,FCollMax,7.97,6.4,7.0,7.6
2025-04-09 09:35:13,HP722565-P,12510136,FJupAvg,111.78,111.1,111.1,114.1
2025-04-09 09:35:13,HP722565-P,12510136,FJupMin,111.44,111.1,111.1,114.1
2025-04-09 09:35:13,HP722565-P,12510136,FJupMax,112.12,111.1,111.1,114.1
2025-04-09 09:35:13,HP722565-P,12510136,T2_91Avg,2.12,1.6,2.0,2.4
2025-04-09 09:35:13,HP722565-P,12510136,T2_91Min,2.06,1.6,2.0,2.4
2025-04-09 09:35:13,HP722565-P,12510136,T2_91Max,2.19,1.6,2.0,2.4
2025-04-09 09:35:13,HP722565-P,12510136,T2_16Avg,2.18,1.6,2.0,2.4
2025-04-09 09:35:13,HP722565-P,12510136,T2_16Min,2.06,1.6,2.0,2.4
2025-04-09 09:35:13,HP722565-P,12510136,T2_16Max,2.27,1.6,2.0,2.4
2025-04-09 09:35:13,HP722565-P,12510136,R218318Avg,218.49,217.82,218.32,218.82
2025-04-09 09:35:13,HP722565-P,12510136,R218318Min,217.98,217.82,218.32,218.82
2025-04-09 09:35:13,HP722565-P,12510136,R218318Max,219.45,217.82,218.32,218.82
2025-04-09 09:35:13,HP722565-P,12510136,R223Avg,222.83,222.0,223.0,224.0
2025-04-09 09:35:13,HP722565-P,12510136,R223Min,222.3,222.0,223.0,224.0
2025-04-09 09:35:13,HP722565-P,12510136,R223Max,223.7,222.0,223.0,224.0
2025-04-09 09:35:13,HP722565-P,12510136,R237Avg,236.83,236.0,237.0,238.0
2025-04-09 09:35:13,HP722565-P,12510136,R237Min,236.53,236.0,237.0,238.0
2025-04-09 09:35:13,HP722565-P,12510136,R237Max,237.18,236.0,237.0,238.0
2025-04-09 09:35:13,HP722565-P,12510136,HBoss35_4,35.18,35.0,35.4,35.8
2025-04-09 09:35:13,HP722565-P,12510136,28BossG,27.65,26.62,27.56,28.5
2025-04-09 09:35:13,HP722565-P,12510136,28BossD,27.66,26.62,27.56,28.5
2025-04-09 09:35:13,HP722565-P,12510136,RDia541Avg,270.47,269.25,270.5,271.75
2025-04-09 09:35:13,HP722565-P,12510136,RDia541Min,270.24,269.25,270.5,271.75
2025-04-09 09:35:13,HP722565-P,12510136,RDia541Max,270.61,269.25,270.5,271.75
2025-04-09 09:35:13,HP722565-P,12510136,Diam520_3,520.31,519.1,520.3,521.5
2025-04-09 09:57:47,HP722562-U,12510138,FCollAvg,7.17,6.4,7.0,7.6
2025-04-09 09:57:47,HP722562-U,12510138,FCollMin,6.84,6.4,7.0,7.6
2025-04-09 09:57:47,HP722562-U,12510138,FCollMax,7.55,6.4,7.0,7.6
2025-04-09 09:57:47,HP722562-U,12510138,FJupAvg,111.88,111.1,111.1,114.1
2025-04-09 09:57:47,HP722562-U,12510138,FJupMin,111.63,111.1,111.1,114.1
2025-04-09 09:57:47,HP722562-U,12510138,FJupMax,112.04,111.1,111.1,114.1
2025-04-09 09:57:47,HP722562-U,12510138,T2_91Avg,2.11,1.6,2.0,2.4
2025-04-09 09:57:47,HP722562-U,12510138,T2_91Min,2.01,1.6,2.0,2.4
2025-04-09 09:57:47,HP722562-U,12510138,T2_91Max,2.19,1.6,2.0,2.4
2025-04-09 09:57:47,HP722562-U,12510138,T2_16Avg,2.22,1.6,2.0,2.4
2025-04-09 09:57:47,HP722562-U,12510138,T2_16Min,2.06,1.6,2.0,2.4
2025-04-09 09:57:47,HP722562-U,12510138,T2_16Max,2.39,1.6,2.0,2.4
2025-04-09 09:57:47,HP722562-U,12510138,R218318Avg,218.54,217.82,218.32,218.82
2025-04-09 09:57:47,HP722562-U,12510138,R218318Min,218.02,217.82,218.32,218.82
2025-04-09 09:57:47,HP722562-U,12510138,R218318Max,218.96,217.82,218.32,218.82
2025-04-09 09:57:47,HP722562-U,12510138,R223Avg,222.88,222.0,223.0,224.0
2025-04-09 09:57:47,HP722562-U,12510138,R223Min,222.41,222.0,223.0,224.0
2025-04-09 09:57:47,HP722562-U,12510138,R223Max,223.3,222.0,223.0,224.0
2025-04-09 09:57:47,HP722562-U,12510138,R237Avg,236.84,236.0,237.0,238.0
2025-04-09 09:57:47,HP722562-U,12510138,R237Min,236.63,236.0,237.0,238.0
2025-04-09 09:57:47,HP722562-U,12510138,R237Max,237.1,236.0,237.0,238.0
2025-04-09 09:57:47,HP722562-U,12510138,HBoss35_4,34.92,35.0,35.4,35.8
2025-04-09 09:57:47,HP722562-U,12510138,28BossG,27.76,26.62,27.56,28.5
2025-04-09 09:57:47,HP722562-U,12510138,28BossD,27.72,26.62,27.56,28.5
2025-04-09 09:57:47,HP722562-U,12510138,RDia541Avg,270.47,269.25,270.5,271.75
2025-04-09 09:57:47,HP722562-U,12510138,RDia541Min,270.3,269.25,270.5,271.75
2025-04-09 09:57:47,HP722562-U,12510138,RDia541Max,270.55,269.25,270.5,271.75
2025-04-09 09:57:47,HP722562-U,12510138,Diam520_3,520.38,519.1,520.3,521.5
2025-04-09 12:21:47,HP722562-U,12510138,FCollAvg,7.18,6.4,7.0,7.6
2025-04-09 12:21:47,HP722562-U,12510138,FCollMin,6.91,6.4,7.0,7.6
2025-04-09 12:21:47,HP722562-U,12510138,FCollMax,7.41,6.4,7.0,7.6
2025-04-09 12:21:47,HP722562-U,12510138,FJupAvg,111.86,111.1,111.1,114.1
2025-04-09 12:21:47,HP722562-U,12510138,FJupMin,111.71,111.1,111.1,114.1
2025-04-09 12:21:47,HP722562-U,12510138,FJupMax,112.0,111.1,111.1,114.1
2025-04-09 12:21:47,HP722562-U,12510138,T2_91Avg,2.1,1.6,2.0,2.4
2025-04-09 12:21:47,HP722562-U,12510138,T2_91Min,2.02,1.6,2.0,2.4
2025-04-09 12:21:47,HP722562-U,12510138,T2_91Max,2.18,1.6,2.0,2.4
2025-04-09 12:21:47,HP722562-U,12510138,T2_16Avg,2.21,1.6,2.0,2.4
2025-04-09 12:21:47,HP722562-U,12510138,T2_16Min,2.08,1.6,2.0,2.4
2025-04-09 12:21:47,HP722562-U,12510138,T2_16Max,2.36,1.6,2.0,2.4
2025-04-09 12:21:47,HP722562-U,12510138,R218318Avg,218.48,217.82,218.32,218.82
2025-04-09 12:21:47,HP722562-U,12510138,R218318Min,218.02,217.82,218.32,218.82
2025-04-09 12:21:47,HP722562-U,12510138,R218318Max,218.86,217.82,218.32,218.82
2025-04-09 12:21:47,HP722562-U,12510138,R223Avg,222.87,222.0,223.0,224.0
2025-04-09 12:21:47,HP722562-U,12510138,R223Min,222.49,222.0,223.0,224.0
2025-04-09 12:21:47,HP722562-U,12510138,R223Max,223.19,222.0,223.0,224.0
2025-04-09 12:21:47,HP722562-U,12510138,R237Avg,236.86,236.0,237.0,238.0
2025-04-09 12:21:47,HP722562-U,12510138,R237Min,236.68,236.0,237.0,238.0
2025-04-09 12:21:47,HP722562-U,12510138,R237Max,237.13,236.0,237.0,238.0
2025-04-09 12:21:47,HP722562-U,12510138,HBoss35_4,35.09,35.0,35.4,35.8
2025-04-09 12:21:47,HP722562-U,12510138,28BossG,27.69,26.62,27.56,28.5
2025-04-09 12:21:47,HP722562-U,12510138,28BossD,27.71,26.62,27.56,28.5
2025-04-09 12:21:47,HP722562-U,12510138,RDia541Avg,270.47,269.25,270.5,271.75
2025-04-09 12:21:47,HP722562-U,12510138,RDia541Min,270.34,269.25,270.5,271.75
2025-04-09 12:21:47,HP722562-U,12510138,RDia541Max,270.54,269.25,270.5,271.75
2025-04-09 12:21:47,HP722562-U,12510138,Diam520_3,520.4,519.1,520.3,521.5
2025-04-09 12:34:18,HP722561-V,12507315,FCollAvg,7.23,6.4,7.0,7.6
2025-04-09 12:34:18,HP722561-V,12507315,FCollMin,6.74,6.4,7.0,7.6
2025-04-09 12:34:18,HP722561-V,12507315,FCollMax,7.7,6.4,7.0,7.6
2025-04-09 12:34:18,HP722561-V,12507315,FJupAvg,111.81,111.1,111.1,114.1
2025-04-09 12:34:18,HP722561-V,12507315,FJupMin,111.6,111.1,111.1,114.1
2025-04-09 12:34:18,HP722561-V,12507315,FJupMax,112.1,111.1,111.1,114.1
2025-04-09 12:34:18,HP722561-V,12507315,T2_91Avg,2.12,1.6,2.0,2.4
2025-04-09 12:34:18,HP722561-V,12507315,T2_91Min,2.05,1.6,2.0,2.4
2025-04-09 12:34:18,HP722561-V,12507315,T2_91Max,2.26,1.6,2.0,2.4
2025-04-09 12:34:18,HP722561-V,12507315,T2_16Avg,2.15,1.6,2.0,2.4
2025-04-09 12:34:18,HP722561-V,12507315,T2_16Min,2.06,1.6,2.0,2.4
2025-04-09 12:34:18,HP722561-V,12507315,T2_16Max,2.32,1.6,2.0,2.4
2025-04-09 12:34:18,HP722561-V,12507315,R218318Avg,218.45,217.82,218.32,218.82
2025-04-09 12:34:18,HP722561-V,12507315,R218318Min,217.77,217.82,218.32,218.82
2025-04-09 12:34:18,HP722561-V,12507315,R218318Max,219.1,217.82,218.32,218.82
2025-04-09 12:34:18,HP722561-V,12507315,R223Avg,222.85,222.0,223.0,224.0
2025-04-09 12:34:18,HP722561-V,12507315,R223Min,222.45,222.0,223.0,224.0
2025-04-09 12:34:18,HP722561-V,12507315,R223Max,223.3,222.0,223.0,224.0
2025-04-09 12:34:18,HP722561-V,12507315,R237Avg,236.9,236.0,237.0,238.0
2025-04-09 12:34:18,HP722561-V,12507315,R237Min,236.53,236.0,237.0,238.0
2025-04-09 12:34:18,HP722561-V,12507315,R237Max,237.23,236.0,237.0,238.0
2025-04-09 12:34:18,HP722561-V,12507315,HBoss35_4,35.35,35.0,35.4,35.8
2025-04-09 12:34:18,HP722561-V,12507315,28BossG,27.7,26.62,27.56,28.5
2025-04-09 12:34:18,HP722561-V,12507315,28BossD,27.74,26.62,27.56,28.5
2025-04-09 12:34:18,HP722561-V,12507315,RDia541Avg,270.44,269.25,270.5,271.75
2025-04-09 12:34:18,HP722561-V,12507315,RDia541Min,270.05,269.25,270.5,271.75
2025-04-09 12:34:18,HP722561-V,12507315,RDia541Max,270.74,269.25,270.5,271.75
2025-04-09 12:34:18,HP722561-V,12507315,Diam520_3,520.37,519.1,520.3,521.5
2025-04-09 12:48:35,HP722565-P,12510136,FCollAvg,7.22,6.4,7.0,7.6
2025-04-09 12:48:35,HP722565-P,12510136,FCollMin,7.01,6.4,7.0,7.6
2025-04-09 12:48:35,HP722565-P,12510136,FCollMax,7.6,6.4,7.0,7.6
2025-04-09 12:48:35,HP722565-P,12510136,FJupAvg,111.8,111.1,111.1,114.1
