Date,Serial,OF,Nom_Cote,Mesure,Nominal,Tolérance_Min,Tolérance_Max
2025-05-11,S0001,9009,Cire_Rayon extérieur,275.14,275.15,275.05,275.2
2025-05-11,S0001,9009,Cire_Rayon intérieur jante,210.241,210.15,210.0,210.3
2025-05-11,S0001,9009,Cire_Rayon hors tout,320.14,320.15,320.05,320.3
2025-05-11,S0001,9009,Cire_Rayon fond,40.193,40.15,40.1,40.2
2025-05-11,S0001,9009,Cire_Diamètre global max,326.00399999999996,325.96,325.71,326.11
2025-05-11,S0001,9009,Cire_Rayon extérieur (2e mention),275.23699999999997,275.15,274.85,275.45
2025-05-11,S0001,9009,Cire_Épaisseur patin,30.174999999999997,30.15,29.95,30.35
2025-05-11,S0001,9009,Cire_Largeur gorge centrale,80.084,80.12,80.02,80.22
2025-05-11,S0001,9009,Cire_Rayon fond (2e mention),40.192,40.15,40.075,40.225
2025-05-11,S0001,9009,Cire_Hauteur jante,175.147,175.15,175.025,175.275
2025-05-11,S0001,9009,Cire_Cercle de perçage,145.161,145.15,145.05,145.25
2025-05-11,S0001,9009,Cire_Rayon congé usinage,4.16,4.15,4.125,4.175
2025-05-11,S0001,9009,Cire_Petit alésage,85.133,85.15,85.05,85.25
2025-05-11,S0001,9009,Cire_Alésage moyen,95.212,95.15,95.025,95.275
2025-05-11,S0001,9009,Cire_Alésage grand,105.145,105.15,105.05,105.25
2025-05-11,S0002,5259,Cire_Rayon extérieur,275.149,275.15,275.05,275.2
2025-05-11,S0002,5259,Cire_Rayon intérieur jante,210.125,210.15,210.0,210.3
2025-05-11,S0002,5259,Cire_Rayon hors tout,320.12300000000005,320.15,320.05,320.3
2025-05-11,S0002,5259,Cire_Rayon fond,40.15,40.15,40.1,40.2
2025-05-11,S0002,5259,Cire_Diamètre global max,325.976,325.96,325.71,326.11
2025-05-11,S0002,5259,Cire_Rayon extérieur (2e mention),275.09000000000003,275.15,274.85,275.45
2025-05-11,S0002,5259,Cire_Épaisseur patin,30.231,30.15,29.95,30.35
2025-05-11,S0002,5259,Cire_Largeur gorge centrale,80.123,80.12,80.02,80.22
2025-05-11,S0002,5259,Cire_Rayon fond (2e mention),40.177,40.15,40.075,40.225
2025-05-11,S0002,5259,Cire_Hauteur jante,175.17999999999998,175.15,175.025,175.275
2025-05-11,S0002,5259,Cire_Cercle de perçage,145.2,145.15,145.05,145.25
2025-05-11,S0002,5259,Cire_Rayon congé usinage,4.151999999999999,4.15,4.125,4.175
2025-05-11,S0002,5259,Cire_Petit alésage,85.107,85.15,85.05,85.25
2025-05-11,S0002,5259,Cire_Alésage moyen,95.151,95.15,95.025,95.275
2025-05-11,S0002,5259,Cire_Alésage grand,105.148,105.15,105.05,105.25
2025-05-11,S0003,9929,Cire_Rayon extérieur,275.144,275.15,275.05,275.2
2025-05-11,S0003,9929,Cire_Rayon intérieur jante,210.181,210.15,210.0,210.3
2025-05-11,S0003,9929,Cire_Rayon hors tout,320.12199999999996,320.15,320.05,320.3
2025-05-11,S0003,9929,Cire_Rayon fond,40.134,40.15,40.1,40.2
2025-05-11,S0003,9929,Cire_Diamètre global max,325.87899999999996,325.96,325.71,326.11
2025-05-11,S0003,9929,Cire_Rayon extérieur (2e mention),274.76899999999995,275.15,274.85,275.45
2025-05-11,S0003,9929,Cire_Épaisseur patin,29.93,30.15,29.95,30.35
2025-05-11,S0003,9929,Cire_Largeur gorge centrale,80.129,80.12,80.02,80.22
2025-05-11,S0003,9929,Cire_Rayon fond (2e mention),40.171,40.15,40.075,40.225
2025-05-11,S0003,9929,Cire_Hauteur jante,175.192,175.15,175.025,175.275
2025-05-11,S0003,9929,Cire_Cercle de perçage,145.137,145.15,145.05,145.25
2025-05-11,S0003,9929,Cire_Rayon congé usinage,4.164,4.15,4.125,4.175
2025-05-11,S0003,9929,Cire_Petit alésage,85.09100000000001,85.15,85.05,85.25
2025-05-11,S0003,9929,Cire_Alésage moyen,95.051,95.15,95.025,95.275
2025-05-11,S0003,9929,Cire_Alésage grand,105.11399999999999,105.15,105.05,105.25
2025-05-11,S0004,6741,Cire_Rayon extérieur,275.162,275.15,275.05,275.2
2025-05-11,S0004,6741,Cire_Rayon intérieur jante,210.138,210.15,210.0,210.3
2025-05-11,S0004,6741,Cire_Rayon hors tout,320.125,320.15,320.05,320.3
2025-05-11,S0004,6741,Cire_Rayon fond,40.147,40.15,40.1,40.2
2025-05-11,S0004,6741,Cire_Diamètre global max,325.91700000000003,325.96,325.71,326.11
2025-05-11,S0004,6741,Cire_Rayon extérieur (2e mention),275.171,275.15,274.85,275.45
2025-05-11,S0004,6741,Cire_Épaisseur patin,30.085,30.15,29.95,30.35
2025-05-11,S0004,6741,Cire_Largeur gorge centrale,80.06,80.12,80.02,80.22
2025-05-11,S0004,6741,Cire_Rayon fond (2e mention),40.15,40.15,40.075,40.225
